a_id,a_text,a_q_id,score,feedback
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer204,Terminal 1 and the positive terminal are separated by the gap,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer205,Terminal 1 and the positive terminal are not connected,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer206,terminal 1 is connected to the negative battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer207,terminal 1 is not separated from the negative battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer207.NEW,Terminal 1 and the positive battery terminal are in different electrical states,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193,positive battery terminal is separated by a gap from terminal 1,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185,terminal 1 is not connected to the positive terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223,Because terminal 1 is connected to the positive battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224,because terminal 1 is not seperated by any gaps,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189,the positive battery terminal is not connected to terminal 1.,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
